                 文献类型                                         全部作者                                                                                                                               作者单位                                                                标题                 来源                                                                                           关键字                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                摘要    年份
261   Journal Article                              白如江;陈启明;张玉洁;杨超;                                                                                                          山东理工大学信息管理研究院;浙江大学公共管理学院;                                   基于ChatGPT+Prompt的专利技术功效实体自动生成研究          数据分析与知识发现                                                    专利技术功效矩阵;技术词;功效词;实体识别;生成式模型;ChatGPT;Prompt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [目的]本文重点突破专利技术功效实体的自动识别提取这一难题，智能感知生成专利文献中的关键技术功效，辅助专利技术功效矩阵高质量构建。[方法]本文提出了ChatGPT应用于专利技术功效实体抽取任务的新思路，使用ChatGPT+Prompt的方法实现专利技术词、功效词以及技术功效二元组的识别、提取和生成。[结果]本文识别生成了4个领域、3种语言的专利技术功效实体，跨领域、跨语言、提示样本数量对比的实验结果（ROUGE值）表明，该方法能够较为准确地识别技术功效二元组。通过对比ROUGE-1值可以看出，新能源汽车领域效果最佳，英文专利表现最优，跨域能力和跨语言能力显著，给予one-shot会显著提升模型性能。[局限]本文方法仍存在Prompt缺乏标准、生成内容的重复性、单轮或多轮问答的选择等问题。[结论]本文提出的方法具备合理性和可行性，有效降低技术功效实体生成的人力成本和任务门槛，拓展AIGC的应用场景，释放ChatGPT在专利文献挖掘的巨大潜力。同时，为用户理解ChatGPT辅助开展生成类任务提出了思考和建议。      
262   Journal Article                                 张茜茜;李惠超;丁治民;                                                                                                                温州商学院基础教学部;上海大学文学院;                                                       《切韵汇校·入声》拾零      温州大学学报(社会科学版)                                                                     《切韵汇校》;入声;《王一》;《王三》;校勘;抄本                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             《切韵汇校》是三种王仁昫《刊谬补缺切韵》传本的最新校勘成果，大有功于学术，但也难免瑜中微瑕，进一步考察可为其修订提供参考。以“入声”部分为例，《王一》与《王三》存在未校、录误、录夺等现象。在这三类现象中，未校者居多，其中很大一部分是未吸收前修时贤的研究成果所致；录误与录夺则是转录过程中的次生失误。      
263   Journal Article                                     曾粤亮;吕晓龙;                                                                                                                      华中师范大学信息管理学院;                                     政府主导视角下老年人数字素养提升举措与策略——以新加坡为例             情报资料工作                                                                        政府主导;数字素养;老年人;新加坡;数字包容                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [目的/意义] 提升老年人数字素养是弥合社会数字鸿沟，促进数字包容的必要之举。新加坡政府提升老年人数字素养的举措与成功经验可为我国政府顶层设计、项目开发与实施优化提供参考。[方法/过程] 在文献调研基础上，深入调查新加坡政府及老年人服务相关网站，获取政府发布的老年人数字素养提升政策文本及其主导的项目资料，系统梳理和归纳关键举措。[结果/结论] 新加坡政府提升老年人数字素养的核心举措有：制定政策、组建专门机构和服务团队、搭建数字技能学习交流平台、提供资金与设备支持。其特点是政府主导并协同社会多方力量参与、重视代际与同辈的作用、线上线下结合多种学习模式、获得多方资金与技术支持等。据此提出我国政府未来实践可参考的方向：进一步发挥政府职能整合社会各方优势资源，设计具有全国范围影响力的实践项目和学习模式，拓展老年人数字技能学习平台和交流空间，增加资金支持和老年友好型智能设备供给。      
264   Journal Article                                          郝珊;                                                                                                                        上海大学上海美术学院;                                                数据可视化信息误导现状及发展趋势研究               情报杂志                                                                    数据可视化;信息误导;批判性素养;新闻传播;数据新闻                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [研究目的]数据可视化在当今社会被频繁的使用,但设计不当会产生误导,引发信息安全和伦理问题。研究数据可视化信息误导国内外研究现状和发展方向,能为该领域未来研究及可视化批判性素养提供参考和启示。[研究方法]搜集、编译国内外相关文献,分别从数据可视化信息误导概念界定、当前研究进展、主要研究方向3个视角进行综述。[研究结论]国内对于数据可视化信息误导研究处于新兴阶段,理论体系尚未构成。借鉴中西方已有的研究提出数据可视化信息误导相关概念,整理当前数据可视化信息误导具体方式探究、用户体验研究以及防御性技术研发3个具体研究方向,并从概念、认知和应用角度对未来研究进行展望。      
265   Journal Article                                    曹悦;白晨;张越;                                                                                                                       中国科学技术信息研究所;                                              基于地平线扫描的产业风险预警体系框架研究               情报杂志                                                             地平线扫描;弱信号;情报分析;产业风险;风险识别;风险预警;ESG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [研究目的]产业在发展过程中受到各维度风险因素的影响,建立科学的产业风险扫描和预警体系有助于政府和产业各主体识别、发现潜在风险,以提前做好应对策略。[研究方法]基于地平线扫描和风险预警的相关理论方法,构建面向产业环境、社会和产业治理(ESG)维度的地平线扫描过程,并以此为基础构建产业风险预警体系框架,探讨框架在实际应用中的关键问题。[研究结论]该框架有助于对产业风险进行全面扫描、识别、评估和预警,发现可能仍处于早期的弱信号,为产业风险预警工作提供新的理论和实践路径,未来建议依托产业信息服务平台等系统实现并优化相关预警服务。      
266   Journal Article                                          刘杰;                                                                                                                       华东政法大学刑事法学院;                                                    情报产品模糊性的塑造机理研究               情报杂志                                                                  情报产品;模糊性;角色模糊;目标模糊;战略性模糊;决策者                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [研究目的]情报产品用语含糊现象并不鲜见,其与情报产品质量标准,如“准确、客观”等要求背道而驰,不加以规制将影响到情报的决策辅助功能。[研究方法]首先对模糊性及相关概念进行了界定与区分,阐明了该议题研究的重要意义。在此基础上,重点从三个方面剖析了情报产品模糊性的塑造机理。[研究结论]情报产品模糊性有其主客观原因。其中情报分析人员的角色模糊、情报工作的目标模糊、决策者的战略性模糊构成了情报产品模糊性的主要发生机理。缓解的思路在于,密切情报人员与决策者之间的交流,弥合两者之间因可能存在的“地位”差异而导致的服务妥协;强化情报生产过程的精细度和透明度等等。      
267   Journal Article                                      刘文龙;李兵;                                                                                                     对外经济贸易大学国际关系学院;中国社会科学院拉丁美洲研究所;                                               情报公开的决策动机、潜在矛盾与战略启示               情报杂志                                                                      情报公开;情报威慑;数字技术;情报网络;情报转型                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [研究目的]伴随着全球进入数字信息时代,各国情报公开的现象逐渐增多。从传统情报秘密化到情报走向公开化,情报发展出现了巨大的转变。通过对情报公开现象进行探究,有助于推动我国情报事业的创新发展,提高情报应用的效率和顺应时代发展的要求。[研究方法]综合采用文献梳理、历史回顾以及案例分析的方法对情报公开的决策动机、潜在矛盾进行多方面分析。[研究结论]情报公开在国内外复杂的社会环境中,既是相关利益的主动寻求行为,也是各种压力的相互传导所迫。同时,情报公开也存在威慑失败、情报权威受损、情报网络被破坏,以及引起社会恐慌等问题。对此,我国情报事业应当自上而下进行顶层设计和规范管理,将情报公开统筹于国家战略行动之中,维护情报部门和情报内容的权威性,有选择地公开情报。      
268   Journal Article                             冯家琪;王海燕;吴菲菲;黄鲁成;                                                                                                         中国科学技术信息研究所;北京工业大学经济与管理学院;                                            基于标准和专利数据的企业技术研发方向识别研究               情报杂志                                                                   标准数据;专利数据;研发方向;GTM模型;远程医疗产业                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [研究目的]技术多样性逐渐标准化成为企业研发的关键目标,基于标准和专利的潜在关联识别企业研发方向可以降低企业研发不确定性,实现技术集成转化。[研究方法]提出一个以标准和专利数据为依据,集成标准文本及非文本信息解决研发方向识别问题的新方法。利用文本挖掘技术识别标准和专利信息,基于关键词向量链路预测模型寻找标准和专利的映射关系,构建关键词创新性评价模型,并对空白点进行综合评价,识别与评估研发方向,最后以远程医疗产业标准和专利数据为分析对象进行实证研究。[研究结论]实证结果表明:远程医疗产业识别出9个与专利技术具有较高相似性的标准空白点,通过进一步筛选过滤,最终确定的技术研发方向为:基于计算机网络平台的电子健康记录和在线咨询技术,基于5G和健康关怀技术的远程医疗护理技术,国际知名行业报告研究内容有力支撑了该识别结果。实证研究证明了所提出方法的可行性和可靠性,综合利用标准和专利之间的链接关系,集成标准文本及非文本信息可以进一步提升研发方向识别的效益,同时可以为产业整体创新发展和相关技术布局提供参考。      
269   Journal Article                       方芳;康焱红;夏青青;刘秀梅;陈偶英;曾勇;                                                                                                         湖南中医药大学护理学院;湖南中医药大学第一附属医院;                                         2000-2023年莱菔子研究热点及趋势可视化分析          中国中医药信息杂志                                                                莱菔子;CiteSpace;文献计量学;可视化分析;知识图谱                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             目的 分析2000-2023年莱菔子研究热点及趋势，为后续研究提供参考和方向。方法 检索中国知识资源总库（CNKI）、中文科技期刊数据库（VIP）、中国学术期刊数据库（万方数据）、中国生物医学文献数据库（CBM）2000年1月1日-2023年7月20日收录的莱菔子相关研究文献。利用NoteExpress3.7软件整理文献题录，通过CiteSpace6.2.R2软件对作者、研究机构及关键词进行可视化分析。结果 经筛选，共纳入1 023篇文献，年发文量整体呈先波动上升后缓慢下降趋势；来源期刊421种，载文量最多的期刊为《陕西中医》（75篇）；涉及682位作者，核心作者包括周洪雷、吕文海、朱立俏等；核心研究机构有山东中医药大学、北京中医药大学、山东中医药大学附属医院等；高频关键词有“便秘”“数据挖掘”“临床观察”等。结论 莱菔子当前研究热点主要集中在疾病治疗、化学成分、组方配伍、相关方剂等方面。通过数据挖掘技术总结其临床用药规律、脾胃病治疗为该领域未来的重点研究趋势。      
270   Journal Article                                  杨磊;徐永生;周兴华;                                                                                           自然资源部第一海洋研究所;中国科学院海洋研究所;山东科技大学海洋科学与工程学院;                                      近30年卫星测高研究的文献计量分析（1991—2020）             测绘地理信息                                                                    卫星测高;文献计量学;海洋遥感;物理海洋学;海洋测绘                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               利用Web of Science(WoS)和中国知网收录的1991—2020年卫星测高相关主题文献，梳理国内外卫星测高领域的研究线索和动态趋势，分析文献数量、发文期刊、研究机构和国家、作者、关键词信息，并对比了国内外研究差异，以全面了解卫星测高领域的整体发展特征和研究前沿，为中国的卫星测高研究以及相关卫星任务的发展提供参考。  2023
271   Journal Article                      万兆凯;宋庆臣;万普强;郭明明;张兴义;刘欣;                                                              吉林农业大学资源与环境学院;中国科学院东北地理与农业生态研究所黑土区农业生态院重点实验室;阿荣旗市水利局;扎兰屯市水利局;中国科学院大学;                                   东北黑土区沟蚀研究进展与热点——基于CiteSpace计量分析             水土保持研究                                                                   东北黑土区;沟蚀;热点;文献计量学;CiteSpace                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [目的]直观把握东北黑土区沟蚀研究进展与热点，推进东北黑土区沟蚀研究领域的发展。[方法]以CNKI与Web of Science数据库中245篇相关文献为对象，利用文献计量的方法，使用CiteSpace软件绘制东北黑土区沟蚀研究知识图谱。[结果]结果表明：（1）黑土区沟蚀研究起步较晚，近十年发文量显著增加，但国际期刊发表成果较少，仅占26%。（2）该领域研究力量主要分布在我国东北，其中水利部松辽流域委员会、北京师范大学、中国科学院东北地理与农业生态研究所、东北农业大学、沈阳农业大学等机构贡献突出、影响较大；张树文是该领域中文发文量最多的学者，刘宝元和伍永秋是英文发文量最多的学者。（3）关键词共现表明，目前对东北黑土区沟蚀的关注重点主要集中在侵蚀沟发育特征、影响因素和沟蚀防治措施等方面。[结论]东北黑土区沟蚀尚未形成完整的研究框架和全面的认识，在未来的研究中，需进一步注重东北黑土区沟蚀形成和发育过程及机理研究，并深入分析地质、地形、水文、人类活动等因素的影响。      
272   Journal Article                                      罗柯宇;汤强;                                                                                                                     西华师范大学数学与信息学院;                                      中国“数学变式”研究20年的变迁——基于可视化数据的分析    西华师范大学学报(自然科学版)                                                                 数学变式;CiteSpace;文献综述;可视化图谱;中小学                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     变式及变式教学是中国数学教育教学的特征之一。基于中国知网（CNKI）数据库，借助CiteSpace软件，以中小学数学变式为主题，分别从发文作者、发文机构、关键词对该主题领域的研究主体、研究热点和趋势进行可视化分析。从研究主体来看，研究机构和研究人员之间的联系比较松散，应该走向“加强主体合作，构建研究共同体”。从研究热点和趋势来看，中小学数学变式以几何为主要变式内容，以教学为变式载体，以学生思维的提升为变式目的；研究内容走向多领域、多课型，需要“立足课堂教学，满足学生需要”，同时“深挖研究问题，突显数学本质”；以核心素养为导向的变式教学是研究的一大趋势，需要“优化变式（教学）研究，发展核心素养”。      
273   Journal Article                              娄策群;陈汝涵;樊悦;赵姣姣;                                                                                                            华中师范大学信息管理学院;武昌理工学院商学院;                                             老年人数字信息生态适应能力的概念与结构探析            情报理论与实践                                                      数字信息生态适应能力;老年人信息生态适应能力;适应能力结构体系;数字信息生态适老                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [目的/意义] 从概念和结构上剖析老年人数字信息生态适应能力，可丰富相关学科领域研究内容，为老年人数字信息生态适应能力的深入研究奠定理论基础；为多路径全方位提升老年人数字信息生态适应能力、提高老年人与数字信息生态环境的和谐度提供理论指导。[方法/过程] 首先，提出老年人数字信息生态适应能力概念并对其要点进行解析，构建概念模型；其次，根据适应对象的组成将老年人数字信息生态适应能力划分为4个构面，并对各个构面及其组成要素的概念与作用进行分析；最后，采用专家咨询法探究各个构面及其要素的主次关系。[结果/结论] 老年人数字信息生态适应能力是指为顺应数字信息生态环境变化，老年数字信息人进行数字信息行为的适应性改变，以达到数字信息行为与数字信息生态环境相和谐的能力。老年人数字信息生态适应能力可划分为数字信息本体适应能力、数字信息技术适应能力、数字信息制度适应能力、数字信息场景适应能力4个构面，每个能力构面又有多个能力要素，不同能力构面和能力要素的重要程度有较大差异。      
274   Journal Article                                         彭知辉;                                                                                                                          中国人民公安大学;                                                    基于暗数据视角对情报学的反思            情报理论与实践                                                                    暗数据;情报学;情报本质;情报活动目的;情报社会功能                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [目的/意义]引入暗数据概念，对情报学现有观念、理论等做出新的诠释。[方法/过程]首先，梳理文献，辨析概念，提出广义的暗数据概念；然后，从暗数据视角对情报的本质、情报活动的目的和情报的社会功能等做出新的阐释。[结果/结论]暗数据是指潜藏在人们的认知之外，且对社会生活产生重要影响的数据。从暗数据视角反思情报学，可获得一些新的认识：确定性不是情报的本质特征，不确定性才是情报的根本属性；情报活动的目的，不在于揭示事物的规律及基于规律的预测，而是最大限度地减少事物的不确定性；情报的社会功能不宜定位于服务决策或成为决策的参谋，而是辅助或影响决策。      
275   Journal Article                                     杨思洛;吴丽娟;                                                                                                         武汉大学信息管理学院;武汉大学中国科学评价研究中心;                                       基于BERTopic模型的国外信息资源管理研究进展分析            情报理论与实践                                                              国外信息资源管理;主题模型;BERTopic;研究主题;研究进展                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [目的/意义]文章从已有研究成果中提取主题，梳理主要研究方向，展示主题热度变化趋势，为了解和评估国外信息资源管理（IRM）研究发展现状与趋势提供参考。[方法/过程]采用新兴BERTopic模型对2013—2022年期间WoS数据库中IRM相关文献进行主题提取与识别，结合相关主题词及主题距离划分研究方向，并利用动态主题模型揭示国外IRM领域的演变过程。[结果/结论]国外IRM近10年的研究可分为59个主题，可归纳为信息技术及应用、企业信息管理、图书馆管理与服务、健康信息管理、信息用户与服务、IRM基本理论与方法、文献计量与评价7个方向。大多数主题的研究热度变化偏向稳定的趋势，数字化建设、开放数据等部分主题热度逐渐上涨，而外包、知识管理等少数主题热度退却。      
276   Journal Article                   李雪;张富;王理德;宋达成;赵赫然;蔡卓良;李常乐;                                                                                          甘肃农业大学林学院;甘肃省治沙研究所;甘肃河西走廊森林生态系统国家定位观测研究站;                                              基于文献计量学的矿山生态修复研究进展分析             自然资源情报                                                                    矿山废弃地;生态修复;修复技术;文献计量学;研究进展                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   本文采用文献计量学方法与归纳总结法，分析归纳国内外矿山废弃地研究进展，并对国内外矿山生态修复技术进行对比分析，为我国矿山生态修复研究提供借鉴。本文以矿山生态修复（mine ecological restoration）和矿山修复技术（mine restoration technology）为主题词，分别通过WOS和CNKI检索了国内外有关矿山生态修复近20年的发文量，发现国外两种主题词发文量逐年增加，与生态修复相关的研究论文占比高，范围广，热度持续时间长。主题词除了生态修复（ecological restoration）、恢复（restoration）、植被（vegetation）等词外，还增加了重金属（heavy metals）、植物修复（premeditation）、土地复垦（land reclamation）、生物多样性（biodiversity）等词，说明矿山生态修复研究逐渐多元化。国内2017年之后发文量逐年增加，呈现快速增长态势，其中生态修复（ecological restoration）、生态修复技术（ecological restoration technology）、矿山生态（mine ecological）、矿山废弃地（mine wasteland）等词占比较大，说明我国在矿山生态方面投入巨大。综上，国外在矿山废弃地修复方面以将受损土地恢复到被破坏之前的原始生态，技术和理念以满足生态需求为主。我国以恢复耕地为主，修复理念和技术更偏向农业用地，与国外对比在技术上大同小异，主要在修复理念和需求上存在差异。      
277   Journal Article                   张萨日郎;乌兰图雅;布和;咏梅;斯琴朝克图;张卫青;                                                                    内蒙古师范大学地理科学学院;蒙古高原气候变化与区域响应自治区高等学校重点实验室;内蒙古自治区蒙古高原灾害与生态安全重点实验室;                                          近40 a蒙古高原土地沙漠化研究的文献计量学分析              干旱区地理                                                                          土地退化;生态安全;可视化分析;蒙古高原                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      基于Web of Science（WoS）核心合集和中国知网（CNKI）数据库，借助可视化软件，采用文献计量学方法，对1980—2021年蒙古高原土地沙漠化研究领域的文献进行了分析。结果表明：(1) 发文数量由1980年的2篇增长至2021年的96篇，其变化经历了缓慢增长–波动式增长–快速增长过程；2000年后英文文献占主导，作者单位以中国科学院为主，与美国的合作最多。(2) 2000年之前对土地沙漠化过程的关注度最高，之后土地沙漠化成因成为研究热点，近10 a沙漠化土地的生态修复成为主题。2000年之前研究主要集中在内蒙古沙地地区，21世纪后扩展到以农牧交错带为主的中国北方地区，2011—2021年聚焦在中国北方草原地区。(3) 1980—2000年关注土地沙漠化概念、土地沙漠化成因及防治对策，进入21世纪后转变为土地沙漠化环境效应研究，2017—2021年则聚焦于沙漠化土地生态系统服务、生态修复研究，也是主要的研究趋势之一。今后的研究力求辐射蒙古高原整体，实现多源数据的高度融合，提高所获信息的精确度，以促进蒙古高原沙漠化土地生态功能的提升及中国北方生态屏障建设进程。      
278   Journal Article                          赵震雄;张宇轩;王丽平;刘瑞志;汤利;                                                                                        云南农业大学资源与环境学院;中国环境科学研究院国家环境保护河口与海岸带环境重点实验室;                                       基于文献计量学的农业种植环境中抗生素抗性基因的研究进展             环境科学研究                                                                      文献计量;污染来源;迁移风险;影响因素;管控措施                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             抗生素抗性基因(ARGs)已发展成为一类对人体健康和生态环境造成极大威胁的新污染物. 研究表明ARGs会随着农产品等通过食物链进入畜禽动物或人体内，造成较大健康风险，然而目前关于农业种植环境中ARGs的系统研究仍明显不足. 该文采用文献计量学方法，系统分析了近5年农业环境中ARGs的相关研究进展，并对其污染来源、赋存形态、迁移风险、影响因素和控制措施等进行了系统深入的研究. 结果表明，农业环境中ARGs相关研究较少且不聚焦，有机肥/粪肥施用、生产生活污水灌溉、杀菌剂应用等生产方式导致农业种植环境中ARGs不断累积，逐渐成为抗生素耐药性发展的新兴属地. 农业种植环境中，ARGs主要赋存于胞内DNA(iDNA)、胞外DNA(eDNA)、可移动遗传元件(MGEs)和胞外聚合物(EPS)，eDNA的广泛分布和EPS的稳定性导致ARGs持续积累. ARGs的水平转移和扩散风险主要归因于MGEs的迁移、iDNA的细菌间转导、eDNA的自然转化和EPS的物质交换等过程，并受不同农地利用模式下土壤理化性质、养分状态、抗生素及其他污染物等多重因素的影响，土壤盐渍化、养分和污染物富集等过程会加剧抗生素耐药性传播风险. 堆肥发酵和有机碳添加是控制抗生素耐药性扩散的主要方式，但其主要通过降解或吸附抗生素削减ARGs的产生，难以满足土壤环境中大量ARGs积累下的控制需求. 建议进一步研究农业环境中ARGs的演变特征，综合评估其生态健康风险，并采取源头控制、营养优化和污染物修复等措施削弱抗生素、污染物和养分变化对细菌的胁迫，抑制环境中ARGs的累积和迁移扩散.      
